r,t,y,AnnualizedInvestmentCost
RE1,PHL_INDU_OTHHPH_BIOM,2040,23.64798775882814
RE1,PHL_INDU_OTHHPH_BIOM,2041,23.64798775882814
RE1,PHL_INDU_OTHHPH_BIOM,2042,23.64798775882814
RE1,PHL_INDU_OTHHPH_BIOM,2043,23.64798775882814
RE1,PHL_INDU_OTHHPH_BIOM,2044,23.64798775882814
RE1,PHL_INDU_OTHHPH_COAL,2020,46.68234488004811
RE1,PHL_INDU_OTHHPH_COAL,2021,137.70500890010382
RE1,PHL_INDU_OTHHPH_COAL,2022,140.83672873250788
RE1,PHL_INDU_OTHHPH_COAL,2023,143.95070369321024
RE1,PHL_INDU_OTHHPH_COAL,2024,147.04756221826128
RE1,PHL_INDU_OTHHPH_COAL,2025,150.12793950108824
RE1,PHL_INDU_OTHHPH_COAL,2026,153.4436627060883
RE1,PHL_INDU_OTHHPH_COAL,2027,156.74291818361806
RE1,PHL_INDU_OTHHPH_COAL,2028,160.02638167136607
RE1,PHL_INDU_OTHHPH_COAL,2029,163.294722149644
RE1,PHL_INDU_OTHHPH_COAL,2030,166.51786929131077
RE1,PHL_INDU_OTHHPH_COAL,2031,170.15337184267003
RE1,PHL_INDU_OTHHPH_COAL,2032,173.77411628291102
RE1,PHL_INDU_OTHHPH_COAL,2033,177.38087971037564
RE1,PHL_INDU_OTHHPH_COAL,2034,180.97442570865195
RE1,PHL_INDU_OTHHPH_COAL,2035,184.55551110395112
RE1,PHL_INDU_OTHHPH_COAL,2036,188.78726431956866
RE1,PHL_INDU_OTHHPH_COAL,2037,193.00596228304315
RE1,PHL_INDU_OTHHPH_COAL,2038,197.21242263697772
RE1,PHL_INDU_OTHHPH_COAL,2039,201.40742923709115
RE1,PHL_INDU_OTHHPH_COAL,2040,205.55181632695425
RE1,PHL_INDU_OTHHPH_COAL,2041,210.35264203699603
RE1,PHL_INDU_OTHHPH_COAL,2042,215.1438384849758
RE1,PHL_INDU_OTHHPH_COAL,2043,219.92939252325604
RE1,PHL_INDU_OTHHPH_COAL,2044,224.62880352099813
RE1,PHL_INDU_OTHHPH_COAL,2045,224.2707368772049
RE1,PHL_INDU_OTHHPH_COAL,2046,220.14820314418998
RE1,PHL_INDU_OTHHPH_COAL,2047,225.17262369800073
RE1,PHL_INDU_OTHHPH_COAL,2048,230.20601804831563
RE1,PHL_INDU_OTHHPH_COAL,2049,235.2486362180794
RE1,PHL_INDU_OTHHPH_COAL,2050,240.23669532686856
RE1,PHL_INDU_OTHHPH_COAL,2051,245.743065514917
RE1,PHL_INDU_OTHHPH_COAL,2052,251.26590343043574
RE1,PHL_INDU_OTHHPH_COAL,2053,256.80453333573627
RE1,PHL_INDU_OTHHPH_NG,2020,0.2391232958521753
RE1,PHL_INDU_OTHHPH_NG,2021,0.2391232958521753
RE1,PHL_INDU_OTHHPH_NG,2022,0.2391232958521753
RE1,PHL_INDU_OTHHPH_NG,2023,0.2391232958521753
RE1,PHL_INDU_OTHHPH_NG,2024,0.2391232958521753
RE1,PHL_INDU_OTHHPH_NG,2025,0.2391232958521753
RE1,PHL_INDU_OTHHPH_NG,2026,0.2391232958521753
RE1,PHL_INDU_OTHHPH_NG,2027,0.2391232958521753
RE1,PHL_INDU_OTHHPH_NG,2028,0.2391232958521753
RE1,PHL_INDU_OTHHPH_NG,2029,0.2391232958521753
RE1,PHL_INDU_OTHHPH_NG,2030,0.2391232958521753
RE1,PHL_INDU_OTHHPH_NG,2031,0.2391232958521753
RE1,PHL_INDU_OTHHPH_NG,2032,0.2391232958521753
RE1,PHL_INDU_OTHHPH_NG,2033,0.2391232958521753
RE1,PHL_INDU_OTHHPH_NG,2034,0.2391232958521753
RE1,PHL_INDU_OTHHPH_NG,2035,0.2391232958521753
RE1,PHL_INDU_OTHHPH_NG,2036,0.2391232958521753
