Sum of NewCapacity,Column Labels,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Row Labels,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,(blank),Grand Total
PHL_PRO_BLEND_SFUEL,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,,33999966
PHL_PRO_EXTR_COAL,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,,33999966
PHL_PRO_EXTR_NG,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,,33999966
PHL_PRO_EXTR_OIL,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,,33999966
PHL_PRO_IMP_COAL,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,,33999966
PHL_PRO_IMP_NG,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,,33999966
PHL_PRO_IMP_OIL,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,,33999966
PHL_PRO_IMP_UR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.1093,56.5648,137.3485,1117.0127,1288.9476,1507.71,1626.6313,,5761.3242
PHL_PRO_PROC_BIOF,13.3657,0.2408,0.2493,0.2385,0.2482,0.2432,0.3321,0.3256,0.3267,0.3155,0,0.0207,0.4327,0.4539,0.335,0.321,0.3929,0.3262,0.3183,0.2965,0.2741,0.5125,0.5198,0.5176,0.4931,13.8596,0.8038,0.8125,0.8155,0.8916,0.8374,1.0502,1.0794,1.0916,,42.3415
PHL_PRO_PROC_BIOM,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,,33999966
PHL_PRO_PROC_COAL,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,,33999966
PHL_PRO_PROC_NG,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,,33999966
PHL_PRO_PROC_OIL,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,,33999966
PHL_PWR_GAS,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,,33999966
PHL_SER_HEAT_BIOM,4.9208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,4.9208
PHL_SER_HEAT_COAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
PHL_SER_HEAT_ELE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
PHL_SER_HEAT_NG,0,7.4302,0.9201,0.9201,1.3358,0.8442,0.8079,1.861,0.8211,4.6653,0.8679,0.8454,9.4336,19.2137,5.5217,11.1811,9.6436,3.1334,3.1334,3.5491,3.0575,4.4372,5.4903,4.4503,8.2945,4.4972,5.3691,13.9573,23.7374,10.0454,15.7049,15.105,8.5948,8.5948,,217.4643
PHL_SER_HEAT_OIL,42.1799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,42.1799
PHL_SER_HEAT_RES,34.2175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,34.2175
PHL_SER_UNIT,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,,33999966
PHL_TRA_23WHEEL_ELE,0,133.03,133.03,133.03,133.04,133.03,133.03,133.03,133.03,133.03,266.07,266.06,266.06,266.07,239.56,217.0105,195.2405,176.5222,177.1057,874.7874,0,0,209.0576,191.1636,174.3463,166.0063,220.2377,172.8358,750.1802,0,158.3914,219.0079,220.8964,204.325,,6828.2145
PHL_TRA_23WHEEL_LIQ,39.8077,100.9137,100.174,101.1643,103.0736,98.2648,98.4602,98.4699,99.4602,125.4126,21.2064,147.2542,96.9529,87.5581,0,0,0,88.0834,88.518,28.4661,152.8351,164.8556,159.9799,165.7337,191.6958,87.4993,207.3334,157.6168,139.4297,0,3.9912,12.0277,81.9732,82.4078,,3130.6193
PHL_TRA_23WHEEL_NG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
PHL_TRA_AVI_LIQ,0,0.0154,0.0158,0.0158,0.015,0.0158,0.0182,0.018,0.0172,0.0182,0.018,0.0212,0.0204,0.0212,0.0212,0.0212,0.0254,0.0264,0.0264,0.0348,0,0.04,0.0402,0.0404,0.0396,0.0404,0.0518,0.0516,0.0508,0.1034,0,0.065,0.0642,0.065,,1.038
PHL_TRA_BUS_ELE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
PHL_TRA_BUS_H2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
PHL_TRA_BUS_LIQ,0.0012,2.2883,1.2883,2.2883,1.2883,2.2935,1.2726,2.2726,1.2778,2.2726,1.279,4.5399,2.5451,4.5399,1.5399,2.5503,1.4979,2.5032,1.5084,2.5032,1.5096,4.7443,2.7443,4.7443,1.7443,2.7548,1.6761,2.6761,1.6866,2.6814,1.6826,4.9015,2.8963,4.8963,,82.8888
PHL_TRA_BUS_NG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
PHL_TRA_BUS_PHEV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
PHL_TRA_CAR_ELE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.1667,81.749,118.0324,149.2463,148.2571,149.2629,165.0642,131.6512,145.5809,146.9396,146.9737,146.9919,140.4688,140.5205,139.8885,75.3166,112.2918,173.0427,172.6244,171.8885,,2699.9577
PHL_TRA_CAR_H2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
PHL_TRA_CAR_LIQ,37.9937,107.5776,107.5776,106.5776,107.5776,107.5608,109.9028,108.886,109.886,109.886,109.9028,108.6332,109.6501,109.6332,0,0,31.5555,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1482.8005
PHL_TRA_CAR_NG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
