r,t,y,TotalCapacityAnnual
RE1,PHL_AGR_HEAT_NG,2036,0.4811
RE1,PHL_AGR_HEAT_NG,2037,0.4933
RE1,PHL_AGR_HEAT_NG,2038,0.5055
RE1,PHL_AGR_HEAT_NG,2039,0.5178
RE1,PHL_AGR_HEAT_NG,2040,0.5261
RE1,PHL_AGR_HEAT_NG,2041,0.5256
RE1,PHL_AGR_HEAT_NG,2042,0.5251
RE1,PHL_AGR_HEAT_NG,2043,0.5246
RE1,PHL_AGR_HEAT_NG,2044,0.5246
RE1,PHL_AGR_HEAT_NG,2045,0.3741
RE1,PHL_AGR_HEAT_NG,2046,0.3612
RE1,PHL_AGR_HEAT_NG,2047,0.3524
RE1,PHL_AGR_HEAT_NG,2048,0.3435
RE1,PHL_AGR_HEAT_NG,2049,0.3347
RE1,PHL_AGR_HEAT_NG,2050,0.7193
RE1,PHL_AGR_HEAT_NG,2051,0.737
RE1,PHL_AGR_HEAT_NG,2052,0.7548
RE1,PHL_AGR_HEAT_NG,2053,0.7726
RE1,PHL_AGR_HEAT_ELE,2020,0.0
RE1,PHL_AGR_HEAT_ELE,2021,0.0
RE1,PHL_AGR_HEAT_ELE,2022,0.0
RE1,PHL_AGR_HEAT_ELE,2023,0.0
RE1,PHL_AGR_HEAT_ELE,2024,0.0
RE1,PHL_AGR_HEAT_ELE,2025,0.0
RE1,PHL_AGR_HEAT_ELE,2026,0.0
RE1,PHL_AGR_HEAT_ELE,2027,0.0
RE1,PHL_AGR_HEAT_ELE,2028,0.0
RE1,PHL_AGR_HEAT_ELE,2029,0.0
RE1,PHL_AGR_HEAT_ELE,2030,0.0
RE1,PHL_AGR_HEAT_ELE,2031,0.0
RE1,PHL_AGR_HEAT_ELE,2032,0.0
RE1,PHL_AGR_HEAT_ELE,2033,0.0
RE1,PHL_AGR_HEAT_ELE,2034,0.0
RE1,PHL_AGR_HEAT_ELE,2035,0.0
RE1,PHL_AGR_HEAT_ELE,2036,0.0
RE1,PHL_AGR_HEAT_ELE,2037,0.0
RE1,PHL_AGR_HEAT_ELE,2038,0.0
RE1,PHL_AGR_HEAT_ELE,2039,0.0
RE1,PHL_AGR_HEAT_ELE,2040,0.0
RE1,PHL_AGR_HEAT_ELE,2041,0.0
RE1,PHL_AGR_HEAT_ELE,2042,0.0
RE1,PHL_AGR_HEAT_ELE,2043,0.0
RE1,PHL_AGR_HEAT_ELE,2044,0.0
RE1,PHL_AGR_HEAT_ELE,2045,0.0
RE1,PHL_AGR_HEAT_ELE,2046,0.0
RE1,PHL_AGR_HEAT_ELE,2047,0.0
RE1,PHL_AGR_HEAT_ELE,2048,0.0
RE1,PHL_AGR_HEAT_ELE,2049,0.0
RE1,PHL_AGR_HEAT_ELE,2050,0.0
RE1,PHL_AGR_HEAT_ELE,2051,0.0
RE1,PHL_AGR_HEAT_ELE,2052,0.0
RE1,PHL_AGR_HEAT_ELE,2053,0.0
RE1,PHL_AGR_HEAT_COAL,2020,0.0
RE1,PHL_AGR_HEAT_COAL,2021,0.0
RE1,PHL_AGR_HEAT_COAL,2022,0.0
RE1,PHL_AGR_HEAT_COAL,2023,0.0
RE1,PHL_AGR_HEAT_COAL,2024,0.0
RE1,PHL_AGR_HEAT_COAL,2025,0.0
RE1,PHL_AGR_HEAT_COAL,2026,0.0
RE1,PHL_AGR_HEAT_COAL,2027,0.0
RE1,PHL_AGR_HEAT_COAL,2028,0.0
RE1,PHL_AGR_HEAT_COAL,2029,0.0
RE1,PHL_AGR_HEAT_COAL,2030,0.0
RE1,PHL_AGR_HEAT_COAL,2031,0.0
RE1,PHL_AGR_HEAT_COAL,2032,0.0
RE1,PHL_AGR_HEAT_COAL,2033,0.0
RE1,PHL_AGR_HEAT_COAL,2034,0.0
RE1,PHL_AGR_HEAT_COAL,2035,0.0
RE1,PHL_AGR_HEAT_COAL,2036,0.0
RE1,PHL_AGR_HEAT_COAL,2037,0.0
RE1,PHL_AGR_HEAT_COAL,2038,0.0
RE1,PHL_AGR_HEAT_COAL,2039,0.0
RE1,PHL_AGR_HEAT_COAL,2040,0.0
