r,t,m,y,TotalAnnualTechnologyActivityByMode
RE1,PHL_DEM_PUB_SUR_WAT,1,2033,29.3887
RE1,PHL_DEM_PUB_SUR_WAT,1,2034,31.1144
RE1,PHL_DEM_PUB_SUR_WAT,1,2035,34.383
RE1,PHL_DEM_PUB_SUR_WAT,1,2036,34.8557
RE1,PHL_DEM_PUB_SUR_WAT,1,2037,36.0812
RE1,PHL_DEM_PUB_SUR_WAT,1,2038,35.0307
RE1,PHL_DEM_PUB_SUR_WAT,1,2039,39.878
RE1,PHL_DEM_PUB_SUR_WAT,1,2040,41.377
RE1,PHL_DEM_PUB_SUR_WAT,1,2041,42.93
RE1,PHL_DEM_PUB_SUR_WAT,1,2042,39.2776
RE1,PHL_DEM_PUB_SUR_WAT,1,2043,41.1202
RE1,PHL_DEM_PUB_SUR_WAT,1,2044,47.927
RE1,PHL_DEM_PUB_SUR_WAT,1,2045,46.9118
RE1,PHL_DEM_PUB_SUR_WAT,1,2046,44.7872
RE1,PHL_DEM_PUB_SUR_WAT,1,2047,52.0944
RE1,PHL_DEM_PUB_SUR_WAT,1,2048,48.2032
RE1,PHL_DEM_PUB_SUR_WAT,1,2049,57.481
RE1,PHL_DEM_PUB_SUR_WAT,1,2050,59.592
RE1,PHL_DEM_PUB_SUR_WAT,1,2051,61.773
RE1,PHL_DEM_PUB_SUR_WAT,1,2052,64.028
RE1,PHL_DEM_PUB_SUR_WAT,1,2053,33.7666
RE1,PHL_MIN_PRC,1,2020,99999.0
RE1,PHL_MIN_PRC,1,2021,152.2086
RE1,PHL_MIN_PRC,1,2022,152.4311
RE1,PHL_MIN_PRC,1,2023,152.662
RE1,PHL_MIN_PRC,1,2024,152.9016
RE1,PHL_MIN_PRC,1,2025,153.1501
RE1,PHL_MIN_PRC,1,2026,153.4078
RE1,PHL_MIN_PRC,1,2027,153.6753
RE1,PHL_MIN_PRC,1,2028,153.9527
RE1,PHL_MIN_PRC,1,2029,154.2405
RE1,PHL_MIN_PRC,1,2030,154.5391
RE1,PHL_MIN_PRC,1,2031,154.8488
RE1,PHL_MIN_PRC,1,2032,155.1702
RE1,PHL_MIN_PRC,1,2033,155.5035
RE1,PHL_MIN_PRC,1,2034,155.9908
RE1,PHL_MIN_PRC,1,2035,159.3692
RE1,PHL_MIN_PRC,1,2036,163.3455
RE1,PHL_MIN_PRC,1,2037,167.1803
RE1,PHL_MIN_PRC,1,2038,170.4618
RE1,PHL_MIN_PRC,1,2039,173.0042
RE1,PHL_MIN_PRC,1,2040,173.7372
RE1,PHL_MIN_PRC,1,2041,171.1688
RE1,PHL_MIN_PRC,1,2042,173.5241
RE1,PHL_MIN_PRC,1,2043,176.0923
RE1,PHL_MIN_PRC,1,2044,178.6304
RE1,PHL_MIN_PRC,1,2045,181.4769
RE1,PHL_MIN_PRC,1,2046,183.484
RE1,PHL_MIN_PRC,1,2047,193.0243
RE1,PHL_MIN_PRC,1,2048,203.1964
RE1,PHL_MIN_PRC,1,2049,227.0299
RE1,PHL_MIN_PRC,1,2050,493.8376
RE1,PHL_MIN_PRC,1,2051,543.0425
RE1,PHL_MIN_PRC,1,2052,602.2858
RE1,PHL_MIN_PRC,1,2053,637.4756
RE1,PHL_AGR_MOT_ELE,1,2020,0.0
RE1,PHL_AGR_MOT_ELE,1,2021,0.0
RE1,PHL_AGR_MOT_ELE,1,2022,0.0
RE1,PHL_AGR_MOT_ELE,1,2023,0.0
RE1,PHL_AGR_MOT_ELE,1,2024,0.0
RE1,PHL_AGR_MOT_ELE,1,2025,0.0
RE1,PHL_AGR_MOT_ELE,1,2026,0.0
RE1,PHL_AGR_MOT_ELE,1,2027,0.0
RE1,PHL_AGR_MOT_ELE,1,2028,0.0
RE1,PHL_AGR_MOT_ELE,1,2029,0.0
RE1,PHL_AGR_MOT_ELE,1,2030,0.0
RE1,PHL_AGR_MOT_ELE,1,2031,0.0
RE1,PHL_AGR_MOT_ELE,1,2032,0.0
RE1,PHL_AGR_MOT_ELE,1,2033,0.0
RE1,PHL_AGR_MOT_ELE,1,2034,0.0
RE1,PHL_AGR_MOT_ELE,1,2035,0.0
RE1,PHL_AGR_MOT_ELE,1,2036,0.0
RE1,PHL_AGR_MOT_ELE,1,2037,0.0
RE1,PHL_AGR_MOT_ELE,1,2038,0.0
RE1,PHL_AGR_MOT_ELE,1,2039,0.0
RE1,PHL_AGR_MOT_ELE,1,2040,0.0
RE1,PHL_AGR_MOT_ELE,1,2041,0.0
RE1,PHL_AGR_MOT_ELE,1,2042,0.0
RE1,PHL_AGR_MOT_ELE,1,2043,0.0
RE1,PHL_AGR_MOT_ELE,1,2044,0.0
RE1,PHL_AGR_MOT_ELE,1,2045,0.0
RE1,PHL_AGR_MOT_ELE,1,2046,0.0
RE1,PHL_AGR_MOT_ELE,1,2047,0.0
RE1,PHL_AGR_MOT_ELE,1,2048,0.0
RE1,PHL_AGR_MOT_ELE,1,2049,0.0
RE1,PHL_AGR_MOT_ELE,1,2050,0.0
RE1,PHL_AGR_MOT_ELE,1,2051,0.0
RE1,PHL_AGR_MOT_ELE,1,2052,0.0
RE1,PHL_AGR_MOT_ELE,1,2053,0.0
RE1,PHL_AGR_MOT_LIQ,1,2020,7.8931
RE1,PHL_AGR_MOT_LIQ,1,2021,8.0708
RE1,PHL_AGR_MOT_LIQ,1,2022,8.2485
RE1,PHL_AGR_MOT_LIQ,1,2023,8.4262
RE1,PHL_AGR_MOT_LIQ,1,2024,8.6039
RE1,PHL_AGR_MOT_LIQ,1,2025,8.7815
RE1,PHL_AGR_MOT_LIQ,1,2026,8.9742
RE1,PHL_AGR_MOT_LIQ,1,2027,9.1668
RE1,PHL_AGR_MOT_LIQ,1,2028,9.3595
RE1,PHL_AGR_MOT_LIQ,1,2029,9.5521
RE1,PHL_AGR_MOT_LIQ,1,2030,9.7448
RE1,PHL_AGR_MOT_LIQ,1,2031,9.9637
RE1,PHL_AGR_MOT_LIQ,1,2032,10.1825
RE1,PHL_AGR_MOT_LIQ,1,2033,10.4014
RE1,PHL_AGR_MOT_LIQ,1,2034,10.6203
RE1,PHL_AGR_MOT_LIQ,1,2035,10.8392
RE1,PHL_AGR_MOT_LIQ,1,2036,11.0995
RE1,PHL_AGR_MOT_LIQ,1,2037,11.3599
RE1,PHL_AGR_MOT_LIQ,1,2038,11.6203
RE1,PHL_AGR_MOT_LIQ,1,2039,11.8807
RE1,PHL_AGR_MOT_LIQ,1,2040,12.1411
