r,t,y,CapitalInvestment
RE1,PHL_AGR_HEAT_OIL,2026,0
RE1,PHL_AGR_HEAT_OIL,2027,0
RE1,PHL_AGR_HEAT_OIL,2028,0
RE1,PHL_AGR_HEAT_OIL,2029,0
RE1,PHL_AGR_HEAT_OIL,2030,0
RE1,PHL_AGR_HEAT_OIL,2031,0
RE1,PHL_AGR_HEAT_OIL,2032,0
RE1,PHL_AGR_HEAT_OIL,2033,0
RE1,PHL_AGR_HEAT_OIL,2034,0
RE1,PHL_AGR_HEAT_OIL,2035,0
RE1,PHL_AGR_HEAT_OIL,2036,0
RE1,PHL_AGR_HEAT_OIL,2037,0
RE1,PHL_AGR_HEAT_OIL,2038,0
RE1,PHL_AGR_HEAT_OIL,2039,0
RE1,PHL_AGR_HEAT_OIL,2040,0
RE1,PHL_AGR_HEAT_OIL,2041,0
RE1,PHL_AGR_HEAT_OIL,2042,0
RE1,PHL_AGR_HEAT_OIL,2043,0
RE1,PHL_AGR_HEAT_OIL,2044,0
RE1,PHL_AGR_HEAT_OIL,2045,0
RE1,PHL_AGR_HEAT_OIL,2046,0
RE1,PHL_AGR_HEAT_OIL,2047,0
RE1,PHL_AGR_HEAT_OIL,2048,0
RE1,PHL_AGR_HEAT_OIL,2049,0
RE1,PHL_AGR_HEAT_OIL,2050,0
RE1,PHL_AGR_HEAT_OIL,2051,0
RE1,PHL_AGR_HEAT_OIL,2052,0
RE1,PHL_AGR_HEAT_OIL,2053,0
RE1,PHL_AGR_HEAT_NG,2020,47.1147
RE1,PHL_AGR_HEAT_NG,2021,1.9432
RE1,PHL_AGR_HEAT_NG,2022,1.3465
RE1,PHL_AGR_HEAT_NG,2023,1.3559
RE1,PHL_AGR_HEAT_NG,2024,1.3643
RE1,PHL_AGR_HEAT_NG,2025,1.372
RE1,PHL_AGR_HEAT_NG,2026,1.4878
RE1,PHL_AGR_HEAT_NG,2027,1.4944
RE1,PHL_AGR_HEAT_NG,2028,1.5004
RE1,PHL_AGR_HEAT_NG,2029,1.5058
RE1,PHL_AGR_HEAT_NG,2030,1.5544
RE1,PHL_AGR_HEAT_NG,2031,1.7539
RE1,PHL_AGR_HEAT_NG,2032,1.7539
RE1,PHL_AGR_HEAT_NG,2033,1.7539
RE1,PHL_AGR_HEAT_NG,2034,1.7539
RE1,PHL_AGR_HEAT_NG,2035,1.7539
RE1,PHL_AGR_HEAT_NG,2036,2.0697
RE1,PHL_AGR_HEAT_NG,2037,2.0697
RE1,PHL_AGR_HEAT_NG,2038,2.0697
RE1,PHL_AGR_HEAT_NG,2039,2.0697
RE1,PHL_AGR_HEAT_NG,2040,1.4297
RE1,PHL_AGR_HEAT_NG,2041,0
RE1,PHL_AGR_HEAT_NG,2042,0
RE1,PHL_AGR_HEAT_NG,2043,0
RE1,PHL_AGR_HEAT_NG,2044,0
RE1,PHL_AGR_HEAT_NG,2045,26.7657
RE1,PHL_AGR_HEAT_NG,2046,0
RE1,PHL_AGR_HEAT_NG,2047,0
RE1,PHL_AGR_HEAT_NG,2048,0
RE1,PHL_AGR_HEAT_NG,2049,0
RE1,PHL_AGR_HEAT_NG,2050,64.0209
RE1,PHL_AGR_HEAT_NG,2051,4.4449
RE1,PHL_AGR_HEAT_NG,2052,4.4449
RE1,PHL_AGR_HEAT_NG,2053,4.4449
RE1,PHL_AGR_HEAT_ELE,2020,0
RE1,PHL_AGR_HEAT_ELE,2021,0
RE1,PHL_AGR_HEAT_ELE,2022,0
RE1,PHL_AGR_HEAT_ELE,2023,0
RE1,PHL_AGR_HEAT_ELE,2024,0
RE1,PHL_AGR_HEAT_ELE,2025,0
RE1,PHL_AGR_HEAT_ELE,2026,0
RE1,PHL_AGR_HEAT_ELE,2027,0
RE1,PHL_AGR_HEAT_ELE,2028,0
RE1,PHL_AGR_HEAT_ELE,2029,0
RE1,PHL_AGR_HEAT_ELE,2030,0
RE1,PHL_AGR_HEAT_ELE,2031,0
RE1,PHL_AGR_HEAT_ELE,2032,0
RE1,PHL_AGR_HEAT_ELE,2033,0
RE1,PHL_AGR_HEAT_ELE,2034,0
RE1,PHL_AGR_HEAT_ELE,2035,0
RE1,PHL_AGR_HEAT_ELE,2036,0
RE1,PHL_AGR_HEAT_ELE,2037,0
RE1,PHL_AGR_HEAT_ELE,2038,0
RE1,PHL_AGR_HEAT_ELE,2039,0
RE1,PHL_AGR_HEAT_ELE,2040,0
RE1,PHL_AGR_HEAT_ELE,2041,0
RE1,PHL_AGR_HEAT_ELE,2042,0
RE1,PHL_AGR_HEAT_ELE,2043,0
RE1,PHL_AGR_HEAT_ELE,2044,0
RE1,PHL_AGR_HEAT_ELE,2045,0
RE1,PHL_AGR_HEAT_ELE,2046,0
RE1,PHL_AGR_HEAT_ELE,2047,0
RE1,PHL_AGR_HEAT_ELE,2048,0
RE1,PHL_AGR_HEAT_ELE,2049,0
RE1,PHL_AGR_HEAT_ELE,2050,0
RE1,PHL_AGR_HEAT_ELE,2051,0
RE1,PHL_AGR_HEAT_ELE,2052,0
RE1,PHL_AGR_HEAT_ELE,2053,0
RE1,PHL_AGR_HEAT_COAL,2020,0
RE1,PHL_AGR_HEAT_COAL,2021,0
RE1,PHL_AGR_HEAT_COAL,2022,0
RE1,PHL_AGR_HEAT_COAL,2023,0
RE1,PHL_AGR_HEAT_COAL,2024,0
