r,t,e,m,y,AnnualTechnologyEmissionByMode
RE1,PHL_POW_PP_COAL,PM2_5,1,2033,0.0033
RE1,PHL_POW_PP_COAL,PM2_5,1,2034,0.0032
RE1,PHL_POW_PP_COAL,PM2_5,1,2035,0.003
RE1,PHL_POW_PP_COAL,PM2_5,1,2036,0.0028
RE1,PHL_POW_PP_COAL,PM2_5,1,2037,0.0027
RE1,PHL_POW_PP_COAL,PM2_5,1,2038,0.0025
RE1,PHL_POW_PP_COAL,PM2_5,1,2039,0.0024
RE1,PHL_POW_PP_COAL,PM2_5,1,2040,0.0024
RE1,PHL_POW_PP_COAL,PM2_5,1,2041,0.0025
RE1,PHL_POW_PP_COAL,PM2_5,1,2042,0.0025
RE1,PHL_POW_PP_COAL,PM2_5,1,2043,0.0025
RE1,PHL_POW_PP_COAL,PM2_5,1,2044,0.0025
RE1,PHL_POW_PP_COAL,PM2_5,1,2045,0.0025
RE1,PHL_POW_PP_COAL,PM2_5,1,2046,0.0024
RE1,PHL_POW_PP_COAL,PM2_5,1,2047,0.0022
RE1,PHL_POW_PP_COAL,PM2_5,1,2048,0.0021
RE1,PHL_POW_PP_COAL,PM2_5,1,2049,0.002
RE1,PHL_POW_PP_COAL,PM2_5,1,2050,0.0018
RE1,PHL_POW_PP_COAL,PM2_5,1,2051,0.0017
RE1,PHL_POW_PP_COAL,PM2_5,1,2052,0.0016
RE1,PHL_POW_PP_COAL,PM2_5,1,2053,0.0013
RE1,PHL_HOU_COOK_OIL,PM2_5,1,2020,0.0
RE1,PHL_HOU_COOK_OIL,PM2_5,1,2021,0.0
RE1,PHL_HOU_COOK_OIL,PM2_5,1,2022,0.0
RE1,PHL_HOU_COOK_OIL,PM2_5,1,2023,0.0
RE1,PHL_HOU_COOK_OIL,PM2_5,1,2024,0.0
RE1,PHL_HOU_COOK_OIL,PM2_5,1,2025,0.0
RE1,PHL_HOU_COOK_OIL,PM2_5,1,2026,0.0
RE1,PHL_HOU_COOK_OIL,PM2_5,1,2027,0.0
RE1,PHL_HOU_COOK_OIL,PM2_5,1,2028,0.0
RE1,PHL_HOU_COOK_OIL,PM2_5,1,2029,0.0
RE1,PHL_HOU_COOK_OIL,PM2_5,1,2030,0.0
RE1,PHL_HOU_COOK_OIL,PM2_5,1,2031,0.0
RE1,PHL_HOU_COOK_OIL,PM2_5,1,2032,0.0
RE1,PHL_HOU_COOK_OIL,PM2_5,1,2033,0.0
RE1,PHL_HOU_COOK_OIL,PM2_5,1,2034,0.0
RE1,PHL_HOU_COOK_OIL,PM2_5,1,2035,-0.0
RE1,PHL_HOU_COOK_OIL,PM2_5,1,2036,0.0
RE1,PHL_HOU_COOK_OIL,PM2_5,1,2037,0.0
RE1,PHL_HOU_COOK_OIL,PM2_5,1,2038,0.0
RE1,PHL_HOU_COOK_OIL,PM2_5,1,2039,0.0
RE1,PHL_HOU_COOK_OIL,PM2_5,1,2040,0.0
RE1,PHL_HOU_COOK_OIL,PM2_5,1,2041,0.0
RE1,PHL_HOU_COOK_OIL,PM2_5,1,2042,0.0
RE1,PHL_HOU_COOK_OIL,PM2_5,1,2043,0.0
RE1,PHL_HOU_COOK_OIL,PM2_5,1,2044,0.0
RE1,PHL_HOU_COOK_OIL,PM2_5,1,2045,0.0
RE1,PHL_HOU_COOK_OIL,PM2_5,1,2046,0.0
RE1,PHL_HOU_COOK_OIL,PM2_5,1,2047,0.0
RE1,PHL_HOU_COOK_OIL,PM2_5,1,2048,0.0
RE1,PHL_HOU_COOK_OIL,PM2_5,1,2049,0.0
