r_x,f,t,y,m,r_y,l,r,ProductionByTechnologyByMode
RE1,PHL_AGR_MOT,PHL_AGR_MOT_LIQ,2046,1,RE1,1,RE1,0.4803
RE1,PHL_AGR_MOT,PHL_AGR_MOT_LIQ,2047,1,RE1,1,RE1,0.4922
RE1,PHL_AGR_MOT,PHL_AGR_MOT_LIQ,2048,1,RE1,1,RE1,0.504
RE1,PHL_AGR_MOT,PHL_AGR_MOT_LIQ,2049,1,RE1,1,RE1,0.5159
RE1,PHL_AGR_MOT,PHL_AGR_MOT_LIQ,2050,1,RE1,1,RE1,0.5277
RE1,PHL_AGR_MOT,PHL_AGR_MOT_LIQ,2051,1,RE1,1,RE1,0.5408
RE1,PHL_AGR_MOT,PHL_AGR_MOT_LIQ,2052,1,RE1,1,RE1,0.5538
RE1,PHL_AGR_MOT,PHL_AGR_MOT_LIQ,2053,1,RE1,1,RE1,0.5668
RE1,PHL_AGR_PRO,PHL_AGR_UNIT,2020,1,RE1,1,RE1,0.3188
RE1,PHL_AGR_PRO,PHL_AGR_UNIT,2021,1,RE1,1,RE1,0.326
RE1,PHL_AGR_PRO,PHL_AGR_UNIT,2022,1,RE1,1,RE1,0.3332
RE1,PHL_AGR_PRO,PHL_AGR_UNIT,2023,1,RE1,1,RE1,0.3403
RE1,PHL_AGR_PRO,PHL_AGR_UNIT,2024,1,RE1,1,RE1,0.3475
RE1,PHL_AGR_PRO,PHL_AGR_UNIT,2025,1,RE1,1,RE1,0.3547
RE1,PHL_AGR_PRO,PHL_AGR_UNIT,2026,1,RE1,1,RE1,0.3625
RE1,PHL_AGR_PRO,PHL_AGR_UNIT,2027,1,RE1,1,RE1,0.3703
RE1,PHL_AGR_PRO,PHL_AGR_UNIT,2028,1,RE1,1,RE1,0.378
RE1,PHL_AGR_PRO,PHL_AGR_UNIT,2029,1,RE1,1,RE1,0.3858
RE1,PHL_AGR_PRO,PHL_AGR_UNIT,2030,1,RE1,1,RE1,0.3936
RE1,PHL_AGR_PRO,PHL_AGR_UNIT,2031,1,RE1,1,RE1,0.4024
RE1,PHL_AGR_PRO,PHL_AGR_UNIT,2032,1,RE1,1,RE1,0.4113
RE1,PHL_AGR_PRO,PHL_AGR_UNIT,2033,1,RE1,1,RE1,0.4201
