r_x,f,t,y,m,r_y,l,r,UseByTechnologyByMode
RE1,PHL_WTR_GWT,PHL_DEM_PWR_GWT_WAT,2025,1,RE1,1,RE1,0.5277
RE1,PHL_WTR_GWT,PHL_DEM_PWR_GWT_WAT,2026,1,RE1,1,RE1,0.0524
RE1,PHL_WTR_GWT,PHL_DEM_PWR_GWT_WAT,2027,1,RE1,1,RE1,0.0444
RE1,PHL_WTR_GWT,PHL_DEM_PWR_GWT_WAT,2028,1,RE1,1,RE1,0.0509
RE1,PHL_WTR_GWT,PHL_DEM_PWR_GWT_WAT,2029,1,RE1,1,RE1,0.0674
RE1,PHL_WTR_GWT,PHL_DEM_PWR_GWT_WAT,2031,1,RE1,1,RE1,0.0615
RE1,PHL_WTR_GWT,PHL_DEM_PWR_GWT_WAT,2032,1,RE1,1,RE1,0.8048
RE1,PHL_WTR_GWT,PHL_DEM_PWR_GWT_WAT,2033,1,RE1,1,RE1,0.0705
RE1,PHL_WTR_GWT,PHL_DEM_PWR_GWT_WAT,2034,1,RE1,1,RE1,0.6812
RE1,PHL_WTR_GWT,PHL_DEM_PWR_GWT_WAT,2036,1,RE1,1,RE1,0.0943
RE1,PHL_WTR_GWT,PHL_DEM_PWR_GWT_WAT,2037,1,RE1,1,RE1,0.2147
RE1,PHL_WTR_GWT,PHL_DEM_PWR_GWT_WAT,2038,1,RE1,1,RE1,0.4936
RE1,PHL_WTR_GWT,PHL_DEM_PWR_GWT_WAT,2039,1,RE1,1,RE1,0.5113
RE1,PHL_WTR_GWT,PHL_DEM_PWR_GWT_WAT,2040,1,RE1,1,RE1,0.7145
RE1,PHL_WTR_GWT,PHL_DEM_PWR_GWT_WAT,2041,1,RE1,1,RE1,0.6466
RE1,PHL_WTR_GWT,PHL_DEM_PWR_GWT_WAT,2042,1,RE1,1,RE1,0.8565
RE1,PHL_WTR_GWT,PHL_DEM_PWR_GWT_WAT,2043,1,RE1,1,RE1,0.9069
RE1,PHL_WTR_GWT,PHL_DEM_PWR_GWT_WAT,2044,1,RE1,1,RE1,2.9704
RE1,PHL_WTR_GWT,PHL_DEM_PWR_GWT_WAT,2045,1,RE1,1,RE1,0.8888
RE1,PHL_WTR_GWT,PHL_DEM_PWR_GWT_WAT,2046,1,RE1,1,RE1,1.2392
RE1,PHL_WTR_GWT,PHL_DEM_PWR_GWT_WAT,2047,1,RE1,1,RE1,1.4205
RE1,PHL_WTR_GWT,PHL_DEM_PWR_GWT_WAT,2048,1,RE1,1,RE1,1.2691
RE1,PHL_WTR_GWT,PHL_DEM_PWR_GWT_WAT,2049,1,RE1,1,RE1,1.7046
RE1,PHL_WTR_GWT,PHL_DEM_PWR_GWT_WAT,2050,1,RE1,1,RE1,1.487
RE1,PHL_WTR_GWT,PHL_DEM_PWR_GWT_WAT,2051,1,RE1,1,RE1,1.9195
RE1,PHL_WTR_GWT,PHL_DEM_PWR_GWT_WAT,2052,1,RE1,1,RE1,2.133
