Sum of CapitalInvestment,Column Labels,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Row Labels,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,(blank),Grand Total
PHL_PRO_PROC_BIOF,9399.0951,297.8592,305.2855,297.4716,304.0597,301.4316,362.3037,357.5252,357.9835,346.7732,0,276.3565,430.7309,442.1488,425.2304,437.6803,493.0923,491.7699,491.0499,478.6684,459.4194,536.8028,539.8417,538.4221,520.7274,9745.589,850.7098,858.7079,860.3357,812.022,747.601,939.3101,931.0003,939.3806,,35576.3855
PHL_PRO_PROC_BIOM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
PHL_PRO_PROC_COAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
PHL_PRO_PROC_NG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
PHL_PRO_PROC_OIL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
PHL_PWR_GAS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
PHL_SER_HEAT_BIOM,1989.7713,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1989.7713
PHL_SER_HEAT_COAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
PHL_SER_HEAT_ELE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
PHL_SER_HEAT_NG,0,1404.0859,133.5373,133.8752,6040.0355,105.8085,100.834,101.0825,101.3285,101.5714,101.849,99.0655,99.3101,99.5524,275.3771,1579.1428,1813.3888,495.7802,496.8077,6617.3002,469.9193,696.5692,698.0836,699.4466,700.6732,701.7772,846.821,847.8986,848.8683,1030.5692,2391.3835,2786.3453,1421.9969,1421.9969,,35462.0814
PHL_SER_HEAT_OIL,6531.1307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,6531.1307
PHL_SER_HEAT_RES,3421.7516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,3421.7516
PHL_SER_UNIT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
PHL_TRA_23WHEEL_ELE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
PHL_TRA_23WHEEL_LIQ,32.4965,203.4264,200.4439,201.3104,202.9895,198.7734,198.9443,198.9528,199.8193,222.5276,131.3557,241.6391,197.6254,191.3078,40.7098,54.7216,229.7312,226.7402,227.6152,174.5666,283.3979,222.7375,218.966,223.5143,246.2227,155.0592,262.5285,218.5148,204.5207,0,144.8865,248.1335,245.1426,246.0176,,6495.3385
PHL_TRA_23WHEEL_NG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
PHL_TRA_AVI_LIQ,0,1370.5971,1406.1999,1406.1999,1333.6649,1400.9969,1605.9343,1576.6081,1491.4713,1558.0988,1601.9998,1886.7998,1815.5998,1867.9318,1833.9694,1788.1202,2076.4512,2081.1227,1997.8778,2518.3475,0,3559.9966,3220.0195,2912.4355,2569.2872,2359.0728,2722.2765,2440.5892,2162.4756,3961.4169,0,0,0,0,,58525.561
PHL_TRA_BUS_ELE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
PHL_TRA_BUS_H2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
PHL_TRA_BUS_LIQ,0.0885,172.3942,98.0245,175.7073,99.754,178.9702,100.0134,179.7923,101.7152,181.9356,105.7163,376.1464,211.3762,377.9361,128.4884,213.285,125.5457,210.2394,126.9463,211.07,127.7598,402.4728,233.3049,404.1109,148.8319,235.4171,143.4399,229.3045,144.6808,230.2456,145.7955,424.7192,250.9641,424.2651,,6920.4571
PHL_TRA_BUS_NG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
PHL_TRA_BUS_PHEV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
PHL_TRA_CAR_ELE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
PHL_TRA_CAR_H2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
